"","District","Block","Village","mean","upper","lower"
"V1389_1","UDAIPUR","SARADA","BAGHA THALA",12.7450356282701,-3.41620911908205,18.3062404831873
"V1390_1","UDAIPUR","SARADA","JUNPURIYA",8.02945530955124,-7.06559828853948,13.6124785717482
"V1391_1","UDAIPUR","SARADA","KURADIYA",23.89859194151,3.69104042714312,39.2134233901133
"V1392_1","UDAIPUR","SARADA","KARANPURIYA",16.6399944799815,7.32027802696758,23.8389813920157
"V1393_1","UDAIPUR","SARADA","GATODA",37.4474854127416,18.5070359334957,45.1466381058133
"V1394_1","UDAIPUR","SARADA","NARAYAN PUR",1.64960334822556,-8.74958701418019,9.96055237158387
"V1395_1","UDAIPUR","SARADA","AMBARA",23.3350405413498,8.86737117613059,26.8372354839265
"V1396_1","UDAIPUR","SARADA","SENTHAL",28.3964429899973,18.9144014297612,36.5059320155008
"V1397_1","UDAIPUR","SARADA","GHODASAR",37.9134012570785,32.1696150835809,52.9412374120788
"V1398_1","UDAIPUR","SARADA","JAMBUDAGHATA",34.9015849970735,26.5442747482597,44.9278589724226
"V1399_1","UDAIPUR","SARADA","TOKAR",44.5457438262611,9.58295270057035,47.506046381728
"V1400_1","UDAIPUR","SARADA","KUNDAL3",24.9030883150089,6.47966340508277,37.2634823685745
"V1401_1","UDAIPUR","SARADA","MAHUAL",10.137766612585,-4.22887158340039,12.3734232191026
"V1402_1","UDAIPUR","SARADA","RAMPUR",16.7071374233664,6.29442302932492,24.2232546214787
"V1403_1","UDAIPUR","SARADA","PIPLABHATADA",27.6328695327914,16.5909971552855,42.7695498582135
"V1404_1","UDAIPUR","SARADA","SADAKADI",81.3039050733541,63.0439720704907,111.661891358788
"V1405_1","UDAIPUR","SARADA","HEMATO KI BAHGAL",16.0705528286263,8.86060096512437,25.8870672166929
"V1406_1","UDAIPUR","SARADA","PANDER",3.58791047335842,-1.74039442341687,18.9725294946599
"V1407_1","UDAIPUR","SARADA","KOLAR1",19.1083075604271,10.7508035757722,27.3366079685915
"V1408_1","UDAIPUR","SARADA","MALAR",15.9306762887531,8.04404587925374,21.5990179059585
"V1409_1","UDAIPUR","SARADA","RATHODA",29.3881780634373,7.20935328664982,33.3674322534406
"V1410_1","UDAIPUR","SARADA","ODA2",34.0708659879036,18.9738683331115,42.6080787844864
"V1411_1","UDAIPUR","SARADA","LOHARIYA",27.9310859722536,13.1644909593365,33.4127453662838
"V1412_1","UDAIPUR","SARADA","CHANDODA",22.5198949643594,10.4516679123811,27.2617093145733
"V1413_1","UDAIPUR","SARADA","SAGAT PUR",15.6982019524468,9.9641885298302,28.9668950678763
"V1414_1","UDAIPUR","SARADA","GUDIYUA WADA",13.6845157045316,-4.6407023361874,19.2855905344018
"V1415_1","UDAIPUR","SARADA","KHERUA",14.3844677822581,4.21008372643475,18.3025251528548
"V1416_1","UDAIPUR","SARADA","PALSARADA",96.1089641207382,64.9802069554445,117.383442379814
"V1417_1","UDAIPUR","SARADA","KHAD",42.2233082221698,32.2382598553035,53.1249099462925
"V1418_1","UDAIPUR","SARADA","BALUA",93.7218218355858,60.0868691346959,107.338199528878
"V1419_1","UDAIPUR","SARADA","BHORAIPAL",94.0186516261402,69.192445855193,109.224469504306
"V1420_1","UDAIPUR","SARADA","SHAKTAWAT GUDA",28.4144221067821,10.9079129855292,38.3174218023778
"V1421_1","UDAIPUR","SARADA","DHANKAWADA",54.0562979885231,37.8054528030264,70.9515431021199
